metabolite	name	kegg	chebi
MAM00136	(ADP-D-ribosyl)n+1-acceptor	C03245	nan
MAM00137	(ADP-D-ribosyl)n-acceptor	C03245	nan
MAM00138	(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	nan	nan
MAM00139	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	nan	nan
MAM00140	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	nan	nan
MAM00141	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	nan	nan
MAM00142	(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	nan	nan
MAM00143	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)	nan	nan
MAM00144	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)	nan	nan
MAM00145	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)	nan	nan
MAM00146	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (A)	nan	nan
MAM00147	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)	nan	nan
MAM00148	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)	nan	nan
MAM00149	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)	nan	nan
MAM00150	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)	nan	nan
MAM00151	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)	nan	nan
MAM00152	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)	nan	nan
MAM00153	(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	nan	nan
MAM00154	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1	G00008	CHEBI:53019
MAM00155	(indol-3-yl)acetamide	C02693	nan
MAM00156	(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline	nan	nan
MAM00157	(R)-3-hydroxybutanoate	C01089	CHEBI:17066
MAM00158	(R)-3-hydroxybutanoyl-[ACP]	C04618	nan
MAM00159	(R)-3-hydroxybutanoyl-CoA	C03561	CHEBI:15452
MAM00160	(R)-3-hydroxydecanoyl-[ACP]	C04619	nan
MAM00161	(R)-3-hydroxyoctanoyl-[ACP]	C04620	nan
MAM00162	(R)-3-hydroxypalmitoyl-[ACP]	C04633	nan
MAM00163	(R)-4-phosphopantothenoyl-cysteine	C04352	CHEBI:15769
MAM00164	(R)-5-diphosphomevalonate	C01143	CHEBI:15899
MAM00165	(R)-5-phosphomevalonate	C01107	CHEBI:17436
MAM00166	(R)-methylmalonyl-CoA	C01213	CHEBI:15465
MAM00167	(R)-mevalonate	C00418	CHEBI:25351
MAM00168	(R)-S-lactoylglutathione	C03451	CHEBI:15694
MAM00169	(S)-2-aminobutanoate	C02356	CHEBI:35619
MAM00170	(S)-3-hydroxy-11-cis-octadecenoyl-CoA	nan	nan
MAM00171	(S)-3-hydroxy-2-methylbutyryl-CoA	C04405	CHEBI:15449
MAM00172	(S)-3-hydroxy-7-hexadecenoyl-CoA	nan	nan
MAM00173	(S)-3-hydroxybutyryl-CoA	C01144	CHEBI:15453
MAM00174	(S)-3-hydroxydodecanoyl-CoA	C05262	CHEBI:27668
MAM00175	(S)-3-hydroxyhexadecanoyl-CoA	C05258	CHEBI:27402
MAM00176	(S)-3-hydroxyoleyleoyl-CoA	nan	nan
MAM00177	(S)-3-hydroxypalmitoleoyl-CoA	nan	nan
MAM00178	(S)-3-hydroxytetradecanoyl-CoA	C05260	CHEBI:27466
MAM00179	(S)-3-sulfolactate	C11499	CHEBI:16712
MAM00180	(S)-dihydroorotate	C00337	CHEBI:17025
MAM00181	(S)-hydroxydecanoyl-CoA	C05264	CHEBI:28325
MAM00182	(S)-hydroxyhexanoyl-CoA	C05268	CHEBI:28276
MAM00183	(S)-hydroxyoctanoyl-CoA	C05266	CHEBI:28632
MAM00184	[ACP]	C00229	nan
MAM00185	[apocarboxlase]	nan	nan
MAM00186	[apotransferin]	C05780	nan
MAM00187	[beta-adrenergic-receptor]	C01141	nan
MAM00188	[methionine synthase]-cob(II)alamin	C06409	nan
MAM00189	[methionine synthase]-methylcob(I)alamin	C06410	nan
MAM00190	[myosin light chain]	C01003	nan
MAM00191	[myosin light chain]-phosphate	C03875	nan
MAM00192	[phosphorylase A]	C02307	nan
MAM00193	[phosphorylase B]	C02308	nan
MAM00194	[protein C terminal]-S-farnesyl-L-cysteine	C04506	nan
MAM00195	[protein C terminal]-S-farnesyl-L-cysteine-methyl ester	C04748	nan
MAM00196	[protein]	C00017	CHEBI:16541
MAM00197	[protein]-L-arginine	C00613	nan
MAM00198	[protein]-L-asparagine	C03021	nan
MAM00199	[protein]-L-citrulline	C03022	nan
MAM00200	[protein]-L-cysteine	C02743	nan
MAM00201	[protein]-L-glutamine	C02583	nan
MAM00202	[protein]-L-isoaspartate	C03306	nan
MAM00203	[protein]-L-isoaspartate-methyl ester	C04311	nan
MAM00204	[protein]-L-lysine	C02188	nan
MAM00205	[protein]-L-serine	C02189	nan
MAM00206	[protein]-L-tyrosine	C00585	nan
MAM00207	[protein]-N5-alkylglutamine	C03636	nan
MAM00208	[protein]-N6-(dihydrolipoyl)lysine	C16832	nan
MAM00209	[protein]-N6-(lipoyl)lysine	C16237	nan
MAM00210	[protein]-N6-(octanoyl)lysine	C16236	nan
MAM00211	[protein]-N6,N6,N6-trimethyl-L-lysine	C05546	nan
MAM00212	[protein]-N6,N6-dimethyl-L-lysine	C05545	nan
MAM00213	[protein]-N6-methyl-L-lysine	C05544	nan
MAM00214	[protein]-N-ubiquityllysine	C03635	nan
MAM00215	[protein]-omega-N-(ADP-D-ribosyl)-L-arginine	C16011	nan
MAM00216	[protein]-S-methyl-L-cysteine	C03800	nan
MAM00217	[protein]-tyrosine-O-sulfate	C03721	nan
MAM00219	[pyruvate dehydrogenase (acetyl transferring)]	C01256	nan
MAM00220	[pyruvate dehydrogenase (acetyl transferring)]-phosphate	C01293	nan
MAM00221	1-(1,2,3,4,5-pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate	nan	nan
MAM00222	1-(1-alkenyl)-sn-glycero-3-phosphate	C15646	nan
MAM00223	1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine	C04635	CHEBI:15785
MAM00224	1-(1-alkenyl)-sn-glycerol	C15645	nan
MAM00225	1-(3-pyridinyl)-1,4-butanediol	C19582	nan
MAM00226	1-(methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol	C19577	nan
MAM00227	1,1-dichloroethylene epoxide	C14857	nan
MAM00228	1,1-dichloroethylene	C14039	CHEBI:34031
MAM00229	1,2,3,4-tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal	C19591	nan
MAM00230	1,2,3,4-tetrahydro-beta-carboline	nan	nan
MAM00231	1,2-dehydrosalsolinol	nan	nan
MAM00232	1,2-D-glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen	C04759	nan
MAM00233	1,2-diacylglycerol-bile-PC pool	C00641	CHEBI:17815
MAM00234	1,2-diacylglycerol-chylomicron pool	C00641	CHEBI:17815
MAM00235	1,2-diacylglycerol-LD-PC pool	C00641	CHEBI:17815
MAM00236	1,2-diacylglycerol-LD-PE pool	C00641	CHEBI:17815
MAM00237	1,2-diacylglycerol-LD-PI pool	C00641	CHEBI:17815
MAM00238	1,2-diacylglycerol-LD-PS pool	C00641	CHEBI:17815
MAM00239	1,2-diacylglycerol-LD-SM pool	C00641	CHEBI:17815
MAM00240	1,2-diacylglycerol-LD-TAG pool	C00641	CHEBI:17815
MAM00241	1,2-diacylglycerol-VLDL pool	C00641	CHEBI:17815
MAM00242	1,2-dibromoethane	C11088	nan
MAM00243	1,2-dihydronaphthalene-1,2-diol	C06205	CHEBI:28516
MAM00244	1,2-dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene	C14784	CHEBI:34048
MAM00245	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one	C15606	CHEBI:49252
MAM00246	1,2-naphthoquinone	C14783	nan
MAM00247	1,3-bisphospho-D-glycerate	C00236	CHEBI:16001
MAM00248	1,3-diaminopropane	C00986	CHEBI:15725
MAM00249	1,4-benzothiazine-O-quinonimine	nan	nan
MAM00250	1,4-dihydroxynaphthalene	C14785	CHEBI:34063
MAM00251	1,4-naphthoquinone	C02617	CHEBI:27418
MAM00252	10,11-dihydro-12-epi-LTB4	nan	nan
MAM00253	10,11-dihydro-12-oxo-LTB4	nan	nan
MAM00254	10,11-dihydro-12R-hydroxy-LTC4	nan	nan
MAM00255	10,11-dihydro-20-dihydroxy-LTB4	nan	nan
MAM00256	10,11-dihydro-20-trihydroxy-LTB4	nan	nan
MAM00257	10,11-dihydro-LTB4	nan	nan
MAM00258	10,11-dihydro-LTB4-CoA	nan	nan
MAM00259	10,11-epoxy-(4Z,7Z)-hexadecadienoic acid	nan	nan
MAM00260	10,13,16,19-docosatetraenoic acid	nan	nan
MAM00261	10,13,16,19-docosatetraenoylcarnitine	nan	nan
MAM00262	10,13,16,19-docosatetraenoyl-CoA	nan	nan
MAM00263	10,13,16-docosatrienoylcarnitine	nan	nan
MAM00264	10,13,16-docosatrienoyl-CoA	nan	nan
MAM00265	10,13,16-docosatriynoic acid	nan	nan
MAM00266	10-formyl-THF	C00234	CHEBI:15637
MAM00267	10-formyl-THF-glu(5)	nan	nan
MAM00268	10-formyl-THF-glu(6)	nan	nan
MAM00269	10-formyl-THF-glu(7)	nan	nan
MAM00270	10-HETE	C14748	CHEBI:34306
MAM00271	10-hydroperoxy-H4-neuroprostane	nan	nan
MAM00272	10-hydroxy-D4-neuroprostane	nan	nan
MAM00273	10-hydroxy-E4-neuroprostane	nan	nan
MAM00274	10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide	nan	nan
MAM00275	10-peroxy-docosahexaenoate	nan	nan
MAM00276	11,12,15-THETA	nan	CHEBI:34128
MAM00277	11,12-DHET	nan	CHEBI:84031
MAM00278	11,12-dihydroxy-(5E,7E,9E,14Z)-eicosatetraenoate	nan	nan
MAM00279	11,12-EET	C14770	nan
MAM00280	11,14,15-THETA	nan	CHEBI:137327
MAM00281	11,15-cyclo-12,14-cycloperoxy-8-hydroperoxy-(5Z,9E)-eicosadienoate	nan	nan
MAM00282	11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic acid	nan	nan
MAM00283	11beta,17alpha,21-trihydroxypregnenolone	C05489	CHEBI:27783
MAM00284	11beta-hydroxyandrost-4-ene-3,17-dione	C05284	CHEBI:27967
MAM00285	11beta-hydroxyprogesterone	C05498	CHEBI:28247
MAM00286	11-carboxy-alpha-chromanol	nan	nan
MAM00287	11-carboxy-alpha-tocotrienol	nan	nan
MAM00288	11-carboxy-gamma-chromanol	nan	nan
MAM00289	11-carboxy-gamma-tocotrienol	nan	nan
MAM00290	11-cis-retinal	C02110	CHEBI:16066
MAM00291	11-cis-retinol	C00899	nan
MAM00292	11-cis-retinyl-palmitate	C03455	nan
MAM00293	11-dehydro-thromboxane B2	nan	nan
MAM00294	11-deoxycorticosterone	C03205	CHEBI:16973
MAM00295	11-deoxycortisol	C05488	CHEBI:28324
MAM00296	11h-14,15-EETA	nan	nan
MAM00297	11-HETE	nan	nan
MAM00298	11-HpODE	nan	nan
MAM00299	11-hydroperoxy-H4-neuroprostane	nan	nan
MAM00300	11-hydroxy-D4-neuroprostane	nan	nan
MAM00301	11-hydroxy-E4-neuroprostane	nan	nan
MAM00302	11-peroxy-(5Z,8Z,12E,14Z)-eicosatetraenoate	nan	nan
MAM00303	11-peroxy-docosahexaenoate	nan	nan
MAM00304	11-trans-LTE4	nan	nan
MAM00305	12(13)-EpOME	C14826	CHEBI:38299
MAM00306	12(R)-HPETE	nan	nan
MAM00307	12(S)-HETE	nan	nan
MAM00308	12(S)-HHT	nan	nan
MAM00309	12(S)-HPETE	C05965	CHEBI:15626
MAM00310	12,13-epoxy-(6Z,9Z)-octadecadienoic acid	nan	nan
MAM00311	12,13-epoxy-9-alkoxy-(10E)-octadecenoate	nan	nan
MAM00312	12,13-epoxy-9-hydroperoxy-(10E)-octadecenoate	nan	nan
MAM00313	12,13-epoxylinoleic acid-radical	nan	nan
MAM00314	12,13-hydroxyoctadec-9(z)-enoate	C14829	nan
MAM00315	12,15,18,21-tetracosatetraenoic acid	nan	nan
MAM00316	12,15,18,21-tetracosatetraenoylcarnitine	nan	nan
MAM00317	12,15,18,21-tetracosatetraenoyl-CoA	nan	nan
MAM00318	12,20-diHETE	nan	nan
MAM00319	12,20-dioxo-LTB4	nan	nan
MAM00320	12-epi-LTB4	nan	nan
MAM00321	12-hetre	nan	nan
MAM00322	12-hydroperoxyeicosatetraenoate-glyceryl-ester	nan	nan
MAM00323	12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate	nan	nan
MAM00324	12-hydroxy-arachidonate	nan	nan
MAM00325	12-hydroxydodecanoic acid	C08317	CHEBI:39567
MAM00326	12-keto-LTB4	nan	nan
MAM00327	12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate	nan	nan
MAM00328	12-oxo-10,11-dihydro-20-COOH-LTB4	nan	nan
MAM00329	12-oxo-20-carboxy-LTB4	nan	nan
MAM00330	12-oxo-20-dihydroxy-LTB4	nan	nan
MAM00331	12-oxo-20-hydroxy-LTB4	nan	nan
MAM00332	12-oxo-20-trihydroxy-LTB4	nan	nan
MAM00333	12-oxo-c-LTB3	nan	nan
MAM00334	12-oxoETE	nan	nan
MAM00335	12-peroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	nan	nan
MAM00336	13(S)-HODE	C14762	CHEBI:34154
MAM00337	13(S)-HPODE	C04717	CHEBI:15655
MAM00338	13,14-dihydro-15-keto-PGD2	nan	nan
MAM00339	13,14-dihydro-15-oxo-lipoxin A4	nan	nan
MAM00340	13,14-dihydro-lipoxin A4	nan	nan
MAM00341	13,16,19-docosatrienoic acid	C16534	CHEBI:1038735
MAM00342	13,16,19-docosatrienoylcarnitine	nan	nan
MAM00343	13,16,19-docosatrienoyl-CoA	nan	nan
MAM00344	13-carboxy-alpha-tocopherol	nan	nan
MAM00345	13-carboxy-alpha-tocotrienol	nan	nan
MAM00346	13-carboxy-gamma-tocopherol	nan	nan
MAM00347	13-carboxy-gamma-tocotrienol	nan	nan
MAM00348	13-cis-oxo-retinoate	nan	nan
MAM00349	13-cis-retinal	nan	CHEBI:45487
MAM00350	13-cis-retinoate	D00348	CHEBI:6067
MAM00351	13-cis-retinol	nan	nan
MAM00352	13-cis-retinoyl-beta-D-glucuronide	nan	nan
MAM00353	13-cis-retinoyl-glucuronide	nan	nan
MAM00354	13-HETE	nan	nan
MAM00355	13-hydroperoxy-H4-neuroprostane	nan	nan
MAM00356	13-hydroxy-alpha-tocopherol	nan	nan
MAM00357	13-hydroxy-alpha-tocotrienol	nan	nan
MAM00358	13-hydroxy-D4-neuroprostane	nan	nan
MAM00359	13-hydroxy-E4-neuroprostane	nan	nan
MAM00360	13-hydroxy-gamma-tocopherol	nan	nan
MAM00361	13-hydroxy-gamma-tocotrienol	nan	nan
MAM00362	13-oxo-(9Z,11E)-tridecadienoate	nan	nan
MAM00363	13-oxy-radical-octadecadienoate	nan	nan
MAM00364	14,15-DHET	nan	nan
MAM00365	14,15-DiHETE	nan	nan
MAM00366	14,15-EET	C14771	CHEBI:34157
MAM00367	14-demethyllanosterol	C05108	CHEBI:18364
MAM00368	14-hydroperoxy-H4-neuroprostane	nan	nan
MAM00369	14-hydroxy-D4-neuroprostane	nan	nan
MAM00370	14-hydroxy-E4-neuroprostane	nan	nan
MAM00371	14-hydroxytetradecanoic acid	nan	nan
MAM00372	14-peroxy-docosahexaenoate	nan	nan
MAM00373	15(R)-HEPE	nan	nan
MAM00374	15(R)-HETE	nan	nan
MAM00375	15(R)-HpEPE	nan	nan
MAM00376	15(S)-HEPE	nan	nan
MAM00377	15(S)-HETE	nan	nan
MAM00378	15(S)-HETrE	nan	nan
MAM00379	15(S)-HpEPE	nan	nan
MAM00380	15(S)-HPETE	C05966	CHEBI:15628
MAM00381	15-dehydro-prostaglandin D2	nan	nan
MAM00382	15-deoxy-delta-12,14-PGD2	nan	nan
MAM00383	15-deoxy-delta-12,14-PGJ2	nan	nan
MAM00384	15-deoxy-PGD2	nan	nan
MAM00385	15-deoxy-prostaglandin J2	nan	nan
MAM00386	15-epi-lipoxin A4	nan	nan
